Participant.Public.ID,Participant.Private.ID,Biological.sex.object.9.Quantised,Age.object.10.Value,Nationality.object.11.Value,Current.country.object.12.Value
kbk39xkv,10287561,1,25,Danish,Denmark
wn2ms4r3,10289423,2,22,Danish,Denmark
9fq6x0xf,10289714,2,24,Danish,Denmark
kr0a59mn,10290485,1,29,Danish,Denmark
lqpyldyv,10290571,2,43,danish,denmark
pkypstmb,10292493,2,24,Danish,Denmark
9crmlvyo,10293557,1,24,Danish,Denmark
fm24ttai,10298410,2,25,Danish,Denmark
9mkg6qyf,10301704,2,25,Danish,Denmark
wbycc0x3,10322714,2,28,Danish,Denmark
w86hqr6l,10327289,1,21,Denmark,Denmark
8d7cj4qi,10331969,1,68,Danish,Denmark
sm6y0z0h,10345658,2,26,Danish,Denmark
owpjfn72,10345833,1,30,DK,Denmark
xuhhp9e2,10353631,2,27,Danish,Denmark
h9qq69vv,10362265,2,21,Danish,Denmark
n9rmc9nk,10365100,1,36,Danish,Denmark
duc9z8os,10368928,1,25,Denmark,Denmark
k7wgrjeg,10377029,2,24,Danish,Denmark
pjfrae87,10377737,2,27,Danish,Denmark
ga116oag,10382210,2,23,Danish,Denmark
bw3mc2fj,10387104,1,54,DK,DK
brbia97p,10389676,1,23,Danish,Denmark
1stccggy,10389972,2,21,Danish,Denmark
r6afv8e6,10391317,1,31,Danish,Denmark
ru7rgbsy,10415796,2,23,Danish,Denmark
0wczf4yw,10419061,2,21,Danish,Denmark
hz80n8va,10419634,2,24,Denmark,Denmark
wat3eo5h,10435897,1,26,Danish,Denmark
mctgva09,10436052,2,24,Danish,Denmark
be4mw42h,10436128,2,30,danish,denmark
d0kkqzxx,10436316,2,27,Danish,Denmark
nt8fl9p2,10436308,1,32,Danish,Denmark
5fcrybra,10437313,2,24,Danish,Denmark
ko2mar6u,10437502,2,25,Danish ,Denmark
oblic9fw,10437954,2,23,Danish,Denmark
nvfrnxvp,10438250,1,25,Danish,Denmark
odrzpohp,10439619,2,19,Danish,Denmark
j5srbhnw,10441447,1,22,Danish/dansk,Denmark/Danmark
6vgyw3h1,10441741,1,27,Danish,Denmark
7be6vbk0,10445460,2,23,danish,Denmark
r6o4dcaq,10446320,2,21,Danish,Denmark
48gjzt2y,10454594,1,23,Danish,Denmark
vv4byzxd,10470638,2,24,Danish,Denmark
05xrj0yw,10484018,2,24,Danish,Denmark
v4uvyfek,10484589,2,28,Danish,Denmark
iy7wjfov,10494598,2,20,Danish,Denmark
qcbzcdtz,10495515,2,20,Danish,Denmark
8ou0ar59,10495734,2,25,Danish,Denmark
wbhsi6qp,10495811,2,22,Danish,Denmark
juyr2avk,10504964,2,25,Danish,Denmark
3ebpayor,10517382,2,18,Denmark,Denmark
k5zwuk9y,10518603,2,27,Danish,Sweden
lq3lemm8,10518772,1,20,Denmark,Denmark
h09bd6kp,10518835,2,21,Denmark,Denmark
5diapoj8,10519261,2,21,Danish,Denmark
uufxunjt,10519926,2,22,Danish,Denmark
cxl243wk,10520254,2,22,Danish,Denmark
co4fiw6q,10522963,2,27,Danish ,Denmark
mazc46pj,10523219,1,30,Denmark,Denmark
01sybimu,10523371,2,24,Danish,Denmark
laqtceow,10542682,1,29,Dansih,Denmark
2y1ghdyb,10551166,2,26,Danish,Denmark
utfhovs3,10555623,1,35,Danish,Denmark
6daw4r1k,10560563,2,24,Danish,Denmark
9cu267ky,10579276,1,26,Denmark,Türkyie
9kvxsqbl,10581003,1,29,Danish,Germany
i0wjz0ig,10581798,1,23,Danish,Denmark
jia1mktr,10608532,1,29,Danish,Denmark
ggdsmg6z,10608551,2,21,Danish,Denmark
b2pdb80h,10608763,2,23,Danish,Denmark
qu52ot0x,10610380,1,39,Danish,Vietnam
2qfqx5ns,10612173,2,25,Danish,Denmark
k4v0n0wf,10614890,2,28,Danish,Sweden
79snlakt,10617959,2,25,Danish,Denmark
6t81lwtr,10623357,2,28,Danish,Denmark
q17cpkp1,10623958,1,25,Danish,Denmark
rjsmlkbp,10627726,2,27,Danish,Denmark
am9o7yjc,10634973,1,23,Danish,Denmark
zlm7ezbc,10635092,2,25,Danish,Denmark
4omjmnly,10650496,2,24,danish ,Denmark 
2lvhod2s,10665766,2,24,Danish,Denmark
p4fepdj0,10689003,2,23,Denmark,Denmark
l2t1cgro,10693342,1,19,danish,Denmark 
rd3mxqhj,10693409,1,24,Danish,Denmark
87a1c3k0,10693419,1,26,Danish,Denmark
22s25t0u,10693500,1,25,Denmark,Denmark
d3yvpr5f,10693537,1,23,Denmark,Denmark
igqh0uqr,10694272,2,26,Danish,Denmark
y69w3ntn,10694443,2,33,danish,denmark
suxqn0mw,10695583,2,23,Danish,Denmark
5gnis5rm,10695598,2,22,danish,denmark
7t5v3pfn,10695883,1,26,Danish,Denmark
6whrn8f3,10696592,2,26,danish,Denmark
ufr6k3bs,10696875,1,26,denmark,denmark
avyw1u3x,10697471,1,23,Danish,Denmark
6ofjc38g,10697798,2,24,Danish,Denmark
yfuvyjfn,10698703,2,28,Danish,Denmark
q750q9qh,10701268,2,22,Danish,Denmark
lrvtyvqg,10704651,1,21,Danish,Denmark
chbcgzcr,10710769,2,25,Danish ,Denmark 
